MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,AP_DIFF,SEMIMINOR_AXIS,ORBITAL_VELOCITY,TARGET,RCS_SIZE_MEDIUM,RCS_SIZE_SMALL
13.70347169,0.0019856,99.5786,80.6906,154.4606,330.8263,99493,4.4703e-05,-5e-08,0.0,7376.462,105.083,1012.974,983.68,29.294000000000096,7376.447458738981,7.350973093573185,0,1,0
13.70261517,0.0020612,99.5854,80.0899,155.8508,204.3609,99454,2.3657e-05,-2.4e-07,0.0,7376.769,105.089,1013.839,983.429,30.41000000000008,7376.753329714208,7.350820128757555,0,1,0
13.70149553,0.0020131,99.5924,80.4874,159.9988,214.4016,99481,1.5725e-05,-3.1e-07,0.0,7377.171,105.098,1013.887,984.185,29.702,7377.156051727977,7.350619843990565,0,1,0
13.70828332,0.001921,99.5457,80.2192,144.8266,215.4153,99505,5.4528e-05,4e-08,0.0,7374.736,105.046,1010.768,982.434,28.33400000000006,7374.722392710871,7.351833262484803,0,1,0
13.70969835,0.0015335,99.5448,76.6578,122.0378,249.6576,99530,1.9004e-05,-2.8e-07,0.0,7374.228,105.035,1007.402,984.785,22.617000000000075,7374.219329295582,7.352086486753125,0,0,0
13.75140398,0.0013319,99.3303,90.8913,60.5178,299.7299,99624,0.00075519,6.8e-06,0.0,7359.311,104.717,990.978,971.374,19.603999999999928,7359.304472444228,7.359533892886888,1,0,1
2.43977412,0.7074455,6.9145,19.9781,324.3284,4.7423,18164,0.0010449,2.01e-06,0.0,23307.844,590.219,33418.738,440.68,32978.058,16473.23595838606,4.135402981440167,1,1,0
2.3180654,0.7128107,7.487,133.4768,35.0571,120.9134,22690,0.000152,-1.1e-07,0.0,24116.709,621.208,34929.223,547.926,34381.297,16914.410029020746,4.065461628085664,1,1,0
2.21172669,0.7140101,7.8899,172.8281,304.9701,297.4965,18200,-0.0021722,2e-07,0.0,24883.657,651.075,36272.704,738.34,35534.364,17421.929125208084,4.002319775044403,1,1,0
2.27780573,0.7125274,8.6743,84.9695,80.5439,347.1749,6926,-0.0010198,-1.02e-06,0.0,24400.05,632.187,35407.62,636.211,34771.409,17120.155663618734,4.041787996025416,1,1,0
